....... 많이 배워가 여 ...,,,,,,,,,,,,,,
사회 의 성공 하 ㄴ 인사 한 분 을 정하 아서 인터뷰 하 는 것 으로 인생 에서 쉽 게 배우 ㄹ 수 없 는 유익 하 ㄴ 내용 들이 ㅁ,,,,,,,,,,,,,,
나 가 얻 어 가 는 것 이 무엇 이 ㄹ까 .. 진지 하 게 나 에게 질문 을 던지 어 보 았 습니다,,,,,,,,,,,,,,
시험 만 잘 보 시 어요,,,,,,,,,,,,,,
내용 자체 가 외 울 게 많 아서 힘들 수 있 음,,,,,,,,,,,,,,
필기 가 많 은 편 이 ㄴ데 그 필기 가 새롭 ㄴ 내용 도 아니 고 유기 화학 교재 에서 글자 그대로 정리 하 아 오 시 ㄴ 내용 이 ㅂ니다,,,,,,,,,,,,,,
뭐 라도 이야기 하 려는 것 이 중요,,,,,,,,,,,,,,
중간 중간 유익 하 ㄴ 말씀 이나 특강 을 하 아 주 시 어서 좋 았 다,,,,,,,,,,,,,,
나름 그 분야 에 기초 지식 이 있 다면 재미있 게 듣 을 수 있 을 것 이 다,,,,,,,,,,,,,,
분명 좋 은 자리 좋 은 경험 이 ㄴ 것 은 맞 아요,,,,,,,,,,,,,,
수업 과 강의 는 매우 괸찮 ,,,,,,,,,,,,,,
개인적 으로 만족 스럽 었 던 수업,,,,,,,,,,,,,,
교수 님 은 좋 았 고 감사 하 게 도 +  채우 어 주심 무엇 ㄴ가 학생 들 을 많이 생각하 아 주 시 는 것 같 아서 좋 았 음,,,,,,,,,,,,,,
"""물류 유통 에 대하 ㄴ 전반적 이 ㄴ 기초적 이 ㄴ 지식 을 쌓기 좋 았 고 ", 팀 프로젝트 도 힘들 기 는 하 았 지만 ," 고생 스럽 었 지만 보람 은 있 었 음""",,,,,,,,,,,,,,
학문적 으로 어렵 지 않 고 유용 하 ㄴ 것 들 배우 ㅂ니다,,,,,,,,,,,,,,
"""맨 앞자리 에서 열심히 듣 을 사람 한테 는 좋 은 수업 수업 별로 라는 친구 들 도 많 았 는데 나 는 유통 물류 에 관해 새롭 ㄴ 접근 방식 "," 관점 등 을 배우 ㄹ 수 있 어서 좋 았 다""",,,,,,,,,,,,,,
"""수업 내용 과 시험 이 관계없 는 내용 이 많 아서 아쉽 기 도 하지만 "," 그래서 다른 수업 에서 ㄴ 듣 을 수 없 는 내용 들 이 많 아 좋 기 도 하 았 다""",,,,,,,,,,,,,,
개인적 으로 는 아주 재미있 게 들 었 던 수업 이 ㄴ데 모든 강의 평 에서 아주 강하 ㄴ 혹평 을 하 길래 안타깝 ㄴ 마음 에 강의 평 을 쓰 ㅁ,,,,,,,,,,,,,,
숭실대 오 아서 그래도 한 번 도 대학 이 부끄럽 었 던 적 은 없 는데 처음 으로 학교 수준 에 대하 어 심각 하 게 고민 하 았었 다,,,,,,,,,,,,,,
거르 어 듣 기 ㄹ 바라,,,,,,,,,,,,,,
개인적 으로 는 새롭 ㄴ 분야 공부 하고 지식 쌓 는 것 같 아서 좋 았 음,,,,,,,,,,,,,,
외국인 교수 님 오 시 어서 하 았 던 강의 가 로 기억 에 남 았 다,,,,,,,,,,,,,,
수업 을 좋아하 시 는지 보충 이 많 다,,,,,,,,,,,,,,
열심히 공부 하 면 학점 도 진짜 잘 주심,,,,,,,,,,,,,,
이번 학기 에 수업 듣 은 겨 수 님 중 제일 좋 았 음,,,,,,,,,,,,,,
수업 이 꽤 나 지루 하나 내용 자체 는 전반적 이 ㄴ 내용 을 다루 시리 어 노력 하 시 ㅂ니다,,,,,,,,,,,,,,
흔히 알 고 있 는 신화 를 하 ㄴ 문 원문 으로 배우 ㅂ니다,,,,,,,,,,,,,,
여러 신화 들 내용 을 배우 는 데 하 ㄴ 문 원문 프린트 하 아서 독음 하고 해석 하고 하 는 것 이 수업 내용 이 구요,,,,,,,,,,,,,,
수업 열심히 들 으면 배우 는 것 도 많 고 점수 도 잘 받 을 수 있 음,,,,,,,,,,,,,,
장점 이 라면 수업 시간 에 시험 보 ㅂ니다,,,,,,,,,,,,,,
수강 생 들 한테 지식 을 다 전하 아 주 고 싶 어 하 나,,,,,,,,,,,,,,
영어 한국어 수업 이 라 나오 지만 100 한국어 수업 이 ㅂ니다,,,,,,,,,,,,,,
중간 을 망치 어도 기말 에 기회 가 있 고 생각 보다 점수 는 잘 주 시 ㅂ니다,,,,,,,,,,,,,,
그래도 잘 가르치 어 주 시 고 수업 나름 유익 하 ㄴ 듯,,,,,,,,,,,,,,
수업 시간 도 중 에 출입 하 는 사람 이 많 아서 깜짝 놀라 었 다,,,,,,,,,,,,,,
갓 창 근 회로 이론 전자회로 응용 전지 회로 다 창 근 교수 님 듣 었 는데 후회 없 다,,,,,,,,,,,,,,
저 는 회로 쪽 으로 가 지 는 않 을 테 지만,,,,,,,,,,,,,,
근데 그만큼 사람 들 평균 이 높 고 열의 가 많 아서 성적 잘 받 기 는 어렵 어 요,,,,,,,,,,,,,,
무엇 보다 실질적 으로 회로 의 마지막 강의 라 그런 것 이 ㄴ지 이번 에 다 들 열심히 하 았 던 것 이 ㄴ지 이제껏 다른 강의 보다 학점 도 관 대하 게 주심,,,,,,,,,,,,,,
얻 는 거기 아무것 도 없 는 강의 이 ㅂ니다,,,,,,,,,,,,,,
이 과목 만큼 은 강의 력 이 좀 의 심 되 ㅂ니다,,,,,,,,,,,,,,
수업 시간 도 잘 조절 하 어 주 고 쓸데없 는 이야기 안 하 고 딱 수업 관련 내용 으로 알차 게 채 울 ㅂ니다,,,,,,,,,,,,,,
스포츠 산업 은 배우 ㄹ 기회 가 흔하 지 않 고 수업 자체 도 유익 하 기 에 경영학부 생 이 면 듣 기 ㄹ 추천 하 ㅂ니다,,,,,,,,,,,,,,
교수 님 이 똑똑 하 다는 것 이 느끼 어 지 ㄴ다 C + + 에 대하 어 어느 정도 알 는 상태 로 수업 을 듣 었 는데 디테일 하 ㄴ 면 을 잘 가르치 어 주 시 어서 도움 이 많이 되 었 고 코딩 능력 뿐 만 아니 라 컴퓨터 내부 구조 와 연관 짓 어 서 설명 하 시 어서 이 하 아 가 아 잘 되 었 다,,,,,,,,,,,,,,
수업 만 잘 들 으면 충분히 풀 수 있 다,,,,,,,,,,,,,,
"""수업 에 열 정적 이 시 고 "," 많이 알리 어 주 려고 하 시 ㄴ 것 같 아 요 숙제 난이도 가 쉽 지만 은 않 았 는데 그만큼 공부 많이 하 ㄴ 것 같 습니다""",,,,,,,,,,,,,,
지금 까지 들 었 던 수업 중 에서 제일 마음 에 들 는 수업 중 하나,,,,,,,,,,,,,,
배우 려고 노력 하 ㄴ다면 많이 얻 어 가 ㄹ 수 있 는 수업 이 ㅂ니다,,,,,,,,,,,,,,
숙제 는 매 수업 마다 있 는데 수업 내용 에서 나오 거나 수업 에서 안 나오 ㄴ 내용 은 구글 링 하 면 바로 나오 았 음,,,,,,,,,,,,,,
교수 님 께서 수업 도 잘 해주시 는데 다른 도움 되 는 이야기 도 많이 하 아 주 시 어요,,,,,,,,,,,,,,
숙제 도 2 번 있 는데 정리 하 는 것 라서 쉽 고 근데 재수강 고학년 들 엄청 많 아서 생각 보다 학점 안 나오 ㅁ,,,,,,,,,,,,,,
보 니 수업 이 조금 졸리 기 는 한데 정신 차리 고 잘 들 으면 진짜 잘 이 해 되 ㅁ,,,,,,,,,,,,,,
최고 의 수업 이 ㅂ니다,,,,,,,,,,,,,,
수업 자체 는 학생 들 수준 고려 하 아서 잘 가르치 어 주 시 ㅂ니다,,,,,,,,,,,,,,
"""첫 번 째 로 는 수업 의 내용 이 좋 고 유익 하 아서 열심히 듣 게 되 는 수업 이 고 "," 두 번 째 는 수업 의 질 은 상당히 떨어지 지만 교수 님 한테 찍히 면 큰일 나 ㄹ 것 같 아서 어쩌 ㄹ 수 없이 열심히 듣 게 되 는 수업 이 다""",,,,,,,,,,,,,,
본 강의 는 디자인 패턴 을 가르치 는 강의 이 ㅂ니다,,,,,,,,,,,,,,
수업 은 꿀 이 지만,,,,,,,,,,,,,,
뭐 얻 어 가 려면 수업 외적 으로 혼자 서 공부 하 아야 하 는데,,,,,,,,,,,,,,
학생 들 에게 배려 많이 하 아 주 시 ㅁ,,,,,,,,,,,,,,
강의 가 유익 하 다고 생각 하 ㅁ,,,,,,,,,,,,,,
