....... 많이 배워가 여 ...,,,,,,,,,,,,,,
학생 들 에게 인턴 과 같 은 기회 가 있 으면 알리 어 주시 기 도 하 ㄴ다,,,,,,,,,,,,,,
"""근데 성적 은 괜찮 게 나오 는 것 이 "," 다른 학생 들 도 같이 고생 하 아요""",,,,,,,,,,,,,,
점수 는 자기 가 열심히 하 는 만큼 받 고 등급 다 채우 어 주 ㄹ려고 발표 점수 조정 하 아 주 시 ㅁ,,,,,,,,,,,,,,
출 결 중요 하 다,,,,,,,,,,,,,,
PPT 중간 중간 에 올리 시 는 여행 사진 들 도 보 면서 마음 의 정갈 해지 는 기분 을 느끼 시 ㄹ 수 있 습니다,,,,,,,,,,,,,,
이해 가 잘 되게 엄청 잘 가르치 어 주심,,,,,,,,,,,,,,
"""교수 님 과 눈 이 많이 마주 치 ㄹ수록 "," 질문 을 많이 하 ㄹ수록 당신 을 기억 하고 계실 것 이 다""",,,,,,,,,,,,,,
진로 체험 느낌,,,,,,,,,,,,,,
처음 모이 ㄴ 조가 기말 숙제 까지 가 니 신 중하 시 기 ㄹ ..,,,,,,,,,,,,,,
어떻하 게 박사 학위 도 알 ㄴ 딴 사람 이 강단 에 서 어 는지 ... 얼마나 학교 가 융 특 을 바보 집단 으로 생각 하 는지 알 수 있 는 강의 이 ㅂ니다,,,,,,,,,,,,,,
좋 은 점 만 미치 ㄴ 듯이 조명하 문제점 은 바라보 지 않 는 수업,,,,,,,,,,,,,,
분명 좋 은 자리 좋 은 경험 이 ㄴ 것 은 맞 아요,,,,,,,,,,,,,,
수업 과 강의 는 매우 괸찮 ,,,,,,,,,,,,,,
"""부담 없 는 내용 "," 하지만 팀 프로젝트 은 싫 었 음""",,,,,,,,,,,,,,
유통 에 대하 ㄴ 흥미 가 오히려 더 떨어지 었 다,,,,,,,,,,,,,,
강의 스타일 은 재미있 지만 딱히 뭘 배우 고자 하 는지 는 잘 모르 겠 음,,,,,,,,,,,,,,
수업 내용 도 재미있 습니다,,,,,,,,,,,,,,
학문적 으로 어렵 지 않 고 유용 하 ㄴ 것 들 배우 ㅂ니다,,,,,,,,,,,,,,
앞자리 에서 듣 은 사람 들 은 아주 만족 하 았 던 수업,,,,,,,,,,,,,,
