....... 많이 배워가 여 ...,,,,,,,,,,,,,,
재무관리 안 듣 고 듣 었 는데 재무관리 듣 은 학생 은 알 겠 지만 이 라는 말 을 많이 하 시 어서 별로 이 었 다,,,,,,,,,,,,,,
지금껏 이렇게 시험 범위 가 적 었 던 전공 이 없 었 습니다,,,,,,,,,,,,,,
출 결도 2 번 봐  근데 아마 다음 학기 에 는 이러 지 않 을 것 에 요 온오 프 가 아니 ㄹ 것 이 ㅂ니다,,,,,,,,,,,,,,
온오 프 라 부담 없 고 학점 도 잘 주심,,,,,,,,,,,,,,
"""일단 팀 프로젝트 "," 숙제 없 고 일주일 에 한 번 만 오프라인 수업 이 ㄴ 것 이 가장 크 ㄴ 장점 교수 님 도 내용 깊 게 안 나가 아서 시험 에 부담 도 적 었 음""",,,,,,,,,,,,,,
나 가 이 젊은 나이 에 여기 에 앉 아서 시간 을 버리 는 것 이 옳 은 행동인 가 하 는 의문 이 들 ㅁ,,,,,,,,,,,,,,
금융 들 아 피하 ㄹ 수 없 으면 즐기 어라 나 는 A 0 먹 고 빠지 ㄴ다,,,,,,,,,,,,,,
애초 에 하 ㄴ 학기 에 나가 ㄹ 진도 를 욕심껏 잡 으시 ㄴ 듯,,,,,,,,,,,,,,
최악 ... 진도 를 위하 ㄴ 수업 ... 중간 기말 댜 합치 어서 프린트 2 천장 은 되 ㄹ 듯,,,,,,,,,,,,,,
혼자 독학 하 ㄴ 학기 이 었 지만 내용 자체 는 도 움 되 ㅁ,,,,,,,,,,,,,,
강의 후기 가 왜 저런 지 이해 가 ㅁ,,,,,,,,,,,,,,
나 가 얻 어 가 는 것 이 무엇 이 ㄹ까 .. 진지 하 게 나 에게 질문 을 던지 어 보 았 습니다,,,,,,,,,,,,,,
그러나 답 을 찾 지 못하 았 습니다,,,,,,,,,,,,,,
발표 등 등 무슨 소용 이 ㄴ가 싶 음,,,,,,,,,,,,,,
시험 은 수업 알 ㄴ 듣 으시 어도 되 요,,,,,,,,,,,,,,
나 가 등록금 내 고 학교 왜 다니 나 싶 은 수업 이 이 었 습니다,,,,,,,,,,,,,,
"""알리 어 주 는 것 도 없 고 "," 그냥 자 기 잘나 ㄴ 맛 에 살 는 것 같 습니다""",,,,,,,,,,,,,,
.. 사실 레포트 점수 기준 도 잘 모르 겠 습니다,,,,,,,,,,,,,,
솔직히 수업 내용 이 상급 이 라고 는 말 못하 겠 다,,,,,,,,,,,,,,
백경수 교수 님 강의 는 듣 을 수 있 으면 꼭 듣 는 것 이 좋 은데 19 년도 는 안 식년 이 라 안 하 시 ㅁ,,,,,,,,,,,,,,
아침 9 시 수업 이 ㄴ 것 만 빼 면 완벽,,,,,,,,,,,,,,
"""유기화 학 1 듣 으시 ㄴ 이후 에 자신감 이 없 으시 었 던 분 들 은 "," 꼭 백경수 교수 님 수업 을 추천 드리 ㅂ니다""",,,,,,,,,,,,,,
또 교수 님 께서 수업 중간 중간 에 ' 이 메커니즘 가 지나 ㄴ 시험 에 내 었 지,,,,,,,,,,,,,,
시국 이 믿 거조 라지만 이분 은 거르 면 안 되 ㄴ다,,,,,,,,,,,,,,
"""그냥 고등학교 수업 같 은 그 이상 "," 그 이 하도 아니 ㅂ니다""",,,,,,,,,,,,,,
그래서 사실 필기 를 왜 해주시 는 지 모르 겠 습니다,,,,,,,,,,,,,,
팀 내 기여 도 를 합의하 여 내야 하 아서 팀 내 분열 이나 사이 틀어지 ㄴ 사람 들 도 있 었 음,,,,,,,,,,,,,,
수업 은 앞 에서 들 으며 교수 님 의 눈 을 초롱초롱 하 게 바라보 며 고개 를 끄덕 이 ㅁ,,,,,,,,,,,,,,
팀 내 공헌 도 를 무,,,,,,,,,,,,,,
진로 체험 느낌,,,,,,,,,,,,,,
처음 모이 ㄴ 조가 기말 숙제 까지 가 니 신 중하 시 기 ㄹ ..,,,,,,,,,,,,,,
자유 전공 1 학년 생 에게 하 ㄴ 학기 배우 ㄴ 지식 만 으로 2 주 우 만 에 사업 계획서 를 써 오 라는 것 은 많 은 것 을 바라 ㄴ 것 이 아니 ㄴ가 싶 다,,,,,,,,,,,,,,
아무것 도 모르 는 1 학년 이 들 으면 오 그럴싸하 ㄴ 버블 같 은 강의 ...,,,,,,,,,,,,,,
아무것 도 못 배우 ㄴ 애 들 한테 무슨 디자인 씽 킹 시키 는지,,,,,,,,,,,,,,
그런데 아무것 도 모르 는 1 학년 이 듣 어서 뭐 하 나요,,,,,,,,,,,,,,
"""... 3 실질적 으로 무슨 도움 을 주 어야 하 는지 모르 고 그 모르 는 것 을 교수 님 께서 시 정하 지 않 으려는 강의 "," 교수 님 그 정도 실무 경력 갖추 ㄴ 사람 은 많 습니다""",,,,,,,,,,,,,,
솔직히 뭐 엄청나 ㄴ 것 을 배우 ㄴ 것 은 아니 지만 유통 이나 물류 에 대하 ㄴ 기초 지식 을 배우 ㅁ,,,,,,,,,,,,,,
아 그리고 특강 듣 고 감상문 쓰 어야 하 ㅁ,,,,,,,,,,,,,,
... 이것 이 수업 이 안 좋 다는 말 이 아니 라 나 에게 ㄴ 팀 프로젝트 주제도 조금 난해 하 았 고 나 랑,,,,,,,,,,,,,,
팀 프로젝트 이 안 맞 는다는 것 을 알 게 되 ㄴ 기회 였 다는 말 이 ㅁ,,,,,,,,,,,,,,
"""진짜 ICT 유통 물류 융합 으로 선택 하 려는 사람 "," 그거 랑 관련 되 ㄴ 학과 가 려는 사람 들 이 들 어 보고 자기 랑 맞 는지 아니 ㄴ지 생각하 아 보 기 좋 은 수업 이 ㅁ""",,,,,,,,,,,,,,
아역 배우 딸 자랑 을 그렇게 많이 하 시 었 다,,,,,,,,,,,,,,
유통 물류 에 대하 ㄴ 전반적 이 ㄴ 수업 을 하 시 어서 깊 게 들어가 는 부분 은 없 어서 호불호 가 갈리 ㄹ 수 있 다,,,,,,,,,,,,,,
교수 님 이 수업 을 별로 않 하 시 는 느낌 적 이 ㄴ 느낌 ...... 특강 이 많 음,,,,,,,,,,,,,,
여 트 ㄴ 나 는 별 루 이 었 음,,,,,,,,,,,,,,
특강 은 또 왜 이렇게 많이 쓰 라고 하 시 는지,,,,,,,,,,,,,,
