"""수업 내용 과 시험 이 관계없 는 내용 이 많 아서 아쉽 기 도 하지만 "," 그래서 다른 수업 에서 ㄴ 듣 을 수 없 는 내용 들 이 많 아 좋 기 도 하 았 다""",,,,,,,,,,,,,,
"""수업 에 열 정적 이 시 고 "," 많이 알리 어 주 려고 하 시 ㄴ 것 같 아 요 숙제 난이도 가 쉽 지만 은 않 았 는데 그만큼 공부 많이 하 ㄴ 것 같 습니다""",,,,,,,,,,,,,,
에 그 ... 강의 평 을 .. 강의 평 에서 ... 강의 평 으로 갖 다가 ... 글 을 쓰 ㄴ다는 일 을 작성 해보 자면 ... 크 게 도움 이 되 ㄴ 다 느끼 어 지 지 ㄴ 않 는 다 잉 ... 발구르 기 하지만 수업 자체 의 강도 는 세 ㄴ 편입 ㅂ니다,,,,,,,,,,,,,,
사실 이것 듣 을 더 배우 었 다면 엄밀 하 ㄴ 의미 에서 철학 의 고유 분과 의 하나 로 쓰 어 인식 론 을 더 충실 하 게 배우 었 다고 하 ㄹ 수 있 을 것 같 음,,,,,,,,,,,,,,
"""유럽 정치 라고 하 아서 단순히 유럽 의 정치제도 나 기구 들 같 은 것 을 배우 는 것 이 아니 라 유럽 을 문명사 적 시각 에서 어떻하 게 바라보 ㄹ 수 있 을지 를 배우 너 어떻하 게 보 면 엄청나 ㄴ 양의 수업 이 되 ㄹ 수 도 "," 어찌 보 면 피상적 이 지 않 고 유럽 에 대하 어 제대로 알 수 있 는 좋 은 강의 라고 도 보 ㄹ 수 있 을 것 같 네요""",,,,,,,,,,,,,,
다만 확실 하 ㄴ 것 은 교수 님 께서 수업 에 대하 ㄴ 열정 하나 만큼 은 뛰어나 시기 에 수업 을 통하 아서 무엇 ㄴ가 를 많이 배우 ㄴ다는 것 보다 는 전반적 이 ㄴ 경영학 의 이 해 를 배우 고 스스로 공부 하 아 나가 며 발전 하 는 타입 이 ㄴ 사람 들 에게 는 수업 이 맞 을 수 도 있 을 것 같 습니다,,,,,,,,,,,,,,
천사 두 명 이 만나 면 이런 조합 이 아니 ㄹ까 두 분 다 착하 시 고 수업 잘 해주시 고 학점 도 잘 주심 특히 갓 현석 교수 님 은 천사 그 자체 수업 빨리 끝내 주심 장난 아니 ㅁ,,,,,,,,,,,,,,
실험 쪽 은 온라인 이 라 실험 없 는 실험 이 되 어 버리 어서 그냥 재미 도 없 고 의미 도 없 는 과목 이 되 었 음,,,,,,,,,,,,,,
숙제 는 중간 중간 연습 문제 풀 어 오 는 것 이 다고 기간 도 시험 보 기 전 까지 만 내면 다 받 아 주심 서 이 ㄹ 완 교수 님 처음 에 깐깐 하 시 ㄴ 줄 알 았 는데 실험 하 ㄹ 때 마다 모르 는 것 여쭈 어 보 면 다 알리 어 주 시 고 실험 하 ㄹ 때 항상 옆 에 같이 계심 숙제 는 매주 예비 결과 보고서 총 두 갠 데 예비 는 다 비슷 하고 결 과 에서 계산 하나 잘못 하 아도 교수 님 다시 계산하 니까 조작 하 려면 애초 에 하 지 말 아라 셈 걸리 고 도 남 음,,,,,,,,,,,,,,
"""주 2 번 레포트 이 ㄴ데 "," 처음 에 는 3 시간 정도 걸리 었 는데 나중 에 는 어떻하 게 하 어 도 감점 되 ㄹ 것 을 알 니 까 그냥 대충 쓰 어서 1 시간 걸리 ㅂ니다""",,,,,,,,,,,,,,
"""왜 굳이 그리고 씨 언어 1 "," 2 학기 나누 어 가르치 는지 진짜 문 뭘 가르치 나 욕 나오 네""",,,,,,,,,,,,,,
교수 님 귀 여우 심 지나 ㄴ 학기 기 출 문제 랑 해설 도 다 나누 어 주 시 니 그것 으로 시험 대비 하 시 기 ㄹ 강의 중 후반 부 쯤 되 면 학생 들 이름 이랑 얼굴 거의 다 외 우 시 니까 출 튀 금지 가끔 웅얼웅얼 설명 하 시 ㄹ 때 도 있 어서 내용 안 놓치 고 들 으려면 앞자리 앉 는 것 추천 그리고 나 의 경험 으로 는 + 알 ㄴ 채우 어 주 시 는 듯,,,,,,,,,,,,,,
"""교 피 ㄹ 2 학점 채우 ㄹ 수 있 어서 듣 은 것 이 었 는데 "," 출석 다 하 고 시험 전날 프린트 몇 번 보 니까 A + 학점 다 채우 었 어도 어차피 졸업 하 려면 15 학점 더 듣 어야 되 니까 듣 는 것 을 추천""",,,,,,,,,,,,,,
"""먼저 수업 이 온오 프 라인 병행 이 ㄴ데 "," 일단 대부분 나 를 포함 하 ㄴ 학생 들 이 온라인 강의 는 그냥 틀 어 놓 고 출 첵 만 하 아서 무슨 내용 을 가르치 는 것 이 ㄴ지 도움 이 안 되 ㅁ""",,,,,,,,,,,,,,
크 게 얻 어 가 는 것 은 없 지만 수업 자체 는 재미있 고 시험 난이도 도 수업 시간 에 하 ㄴ 것 만 나오 고 시험 문제 도 거의 알리 어 주 시 는 편 이 라 부담 없이 듣기 좋 습니다,,,,,,,,,,,,,,
학점 은 채우 어 주 시 지 않 는 것 같 고 매 수업 마다 수업 을 듣 고 수업 시간 에 하 ㄴ 결과 물들 을 수업 마치 ㄹ 때 업로드 하 아야 하 므로 수업 을 듣 으시 시 어야 하 ㅂ니다,,,,,,,,,,,,,,
강의 를 듣 을 때 는 과 연 이 수업 이 도움 이 되 ㄹ까 하 았 지만 시간 이 지나 고 나니 가장 많이 도움 이 되 ㄴ 수업 .. 학점 도 잘 채우 어 주 시 고,,,,,,,,,,,,,,
잘 가르치 고 진짜 좋 으 시 기 는 한데 .. 한 학기 편하 게 다니 시 려면 개 꾸 ㄹ 다반 알고리즘 들 으세 여,,,,,,,,,,,,,,
교수 하 시 ㄴ다는 분 이 매번 진도 하나 못 빼 고 75 분 내내 허덕이 면서 이동 시간 배려 안 하 고 2 분 정도 늦 게 끝내 주 는 것 도 별로 고요,,,,,,,,,,,,,,
 좋 아요 시험 도 뭐 굳이 흠잡 을 것 은 없 는 것 같 고 상당히 만족 스럽 었 던 강의 중 하나,,,,,,,,,,,,,,
중간 은 티비 프로그램 이름 하 고 주제 매 칭 시키 어서 외우 는 것 이 중요 하고 기말 은 각 영화 내용 이나 필기 보 면서 그 영화 에 대하 ㄴ 주제가 무엇 이 었 는지 외우 기 그리고 중간 이나 기말 이나 45 줄 정도 쓰 는 문제 가 꽤 나오 는데 쓸 때 칸 넘어가 면 넘 러 가 ㄴ 내용 은 보 지 도 않 으니까 주의 하 시 어요,,,,,,,,,,,,,,
전공 내용 남 는 것 도 없 고 수업 을 안 올리 어 주 어서 짜증 나 았 지만,,,,,,,,,,,,,,
