그래도 시험 은 쉽 고 범위 도 적당 하 아서 괜찮 았 다,,,,,,,,,,,,,,
"""일단 팀 프로젝트 "," 숙제 없 고 일주일 에 한 번 만 오프라인 수업 이 ㄴ 것 이 가장 크 ㄴ 장점 교수 님 도 내용 깊 게 안 나가 아서 시험 에 부담 도 적 었 음""",,,,,,,,,,,,,,
이번 학기 가 온라인 수업 이었 어서 오픈 북 시험 가능 이 라 좀 빡 세 었 는데 오프라인 하 면 좀 낫 지 않 을까 싶 음,,,,,,,,,,,,,,
2 학년 과목 이 라는 것 이 말 이 안 되 ㄹ 정도 로 ... 그래도 학점 은 잘 채우 어 주 시 는 편 이 기 에 끝나 고 성적 받 아 보 면 위안 이 되 기 는 하 ㅂ니다,,,,,,,,,,,,,,
"""교수 님 특유 의 AH .. AH ... 하 시 는 습관 ", 말 의 속도 ," 이론 이 ㄴ지 생각 하 게 만들 는 어렵 ㄴ 단어 들 과 금융단 어 들 ㄹ""",,,,,,,,,,,,,,
하지만 이것 을 다 이기 어 내 면 기말 점수 는 후 한 편 이 다,,,,,,,,,,,,,,
물론 학생 들 이 드랍  수강 취소 하 아서 17 명뿐이였 어서 절 평 을 하 아야 하 았 지만 중간 성적 들 이 다 들 매우 안 좋 았 는지 기말 에서 는  문제 를 주시 기 도 하 았 다,,,,,,,,,,,,,,
"""시험 자체 는 난이도 가 어렵 지만 수업 을 평소 에 듣 었 으면 하 ㄹ 만 하 ㄹ지 도 ... 보통 본인 이 중요 하 다고 생각 하 거나 "," 설명 하 았 던 부분 을 노리 고 시험 문제 를 나 의 시기 때문""",,,,,,,,,,,,,,
시험 은 기말 한 번 이 ㄴ데 비중 이 매우 적습 ㅂ니다,,,,,,,,,,,,,,
성적 비중 을 교수 님 마음대로 정합 ㅂ니다,,,,,,,,,,,,,,
하 라는 것 은 진짜 많 아서 가끔 귀찮 을 수 있 는데 하 ㄴ 만큼 나오 는 아주 공정하 체계적 이 ㄴ 수업 이 ㅁ,,,,,,,,,,,,,,
시험 은 퀴즈 형식 이 ㄴ데 기초 랑 기말 있 음,,,,,,,,,,,,,,
중간 이 없 지만 매주 퀴즈 35 문제 있 음,,,,,,,,,,,,,,
교수 님 수업 안 듣 고 도 시험 잘 보 ㄹ 수 있 는 그런 과목,,,,,,,,,,,,,,
근데 가르치 시 고자 하 는 양이 많 아서,,,,,,,,,,,,,,
시험 기간 에 주어지 ㄴ 프린트 한 번 이 라도 다 보 면 용자 야,,,,,,,,,,,,,,
최악 ... 진도 를 위하 ㄴ 수업 ... 중간 기말 댜 합치 어서 프린트 2 천장 은 되 ㄹ 듯,,,,,,,,,,,,,,
발표 매우 깐깐 하 아서 투자 많이 하 았 는데 차 등 이 별로 없 음,,,,,,,,,,,,,,
그리고 성적 가지 고 강평 불만 제기 하 는 것 은 공부 를 덜 하 ㄴ 거라 것 봄,,,,,,,,,,,,,,
출석 점수 비중 은 개 높 은데 출 튀 는 안 잡 고,,,,,,,,,,,,,,
"""다만 중간 와 기말 의 범위 가 차이 가 크 고 ", 기말 는 특히 메커니즘 ....... 이 굉장히 많 아서 ," 중간 끝나 자마자 바로 공부 를 하 시 는 것 이 좋 을 것 같 습니다""",,,,,,,,,,,,,,
""".... 안 나오 는 경우 도 좀 있 지만 "," 그래도 그 부분 은 매우 중요 하 다는 의 미니 까 꼭 외우 는 것 이 안전 하 ㅂ니다""",,,,,,,,,,,,,,
교수 님 설명 자체 는 깔끔 하 지만 배경 지식 없 으면 유기 1 모르 면 알아듣 기 힘들 수 있 음,,,,,,,,,,,,,,
과목 자체 가 어렵 ㄴ 것 이 ㄴ지 기말 개 망하 았 는데 성적 은 잘 나오 ㅁ,,,,,,,,,,,,,,
