출 결도 2 번 봐  근데 아마 다음 학기 에 는 이러 지 않 을 것 에 요 온오 프 가 아니 ㄹ 것 이 ㅂ니다,,,,,,,,,,,,,,
"""일단 팀 프로젝트 "," 숙제 없 고 일주일 에 한 번 만 오프라인 수업 이 ㄴ 것 이 가장 크 ㄴ 장점 교수 님 도 내용 깊 게 안 나가 아서 시험 에 부담 도 적 었 음""",,,,,,,,,,,,,,
나 가 얻 어 가 는 것 이 무엇 이 ㄹ까 .. 진지 하 게 나 에게 질문 을 던지 어 보 았 습니다,,,,,,,,,,,,,,
나 가 등록금 내 고 학교 왜 다니 나 싶 은 수업 이 이 었 습니다,,,,,,,,,,,,,,
"""알리 어 주 는 것 도 없 고 "," 그냥 자 기 잘나 ㄴ 맛 에 살 는 것 같 습니다""",,,,,,,,,,,,,,
다 들 처음 그래프 만들 어서 하 는 것 니까 내용 은 틀리 어도 좋 다고 하 시 었 으면서 대체 어떤 것 을 보 고 점수 를 매기 신건 지 ... 저 는 수업 시간 에 한 번 도 졸 거나 하 ㄴ 적 이 없 는데 어떤 기준 으로 태도 점수 도 이 점수 를 주 시 ㄴ 것 이 ㄴ지 모르 겠 네요,,,,,,,,,,,,,,
또 교수 님 께서 수업 중간 중간 에 ' 이 메커니즘 가 지나 ㄴ 시험 에 내 었 지,,,,,,,,,,,,,,
팀 내 공헌 도 를 무,,,,,,,,,,,,,,
처음 모이 ㄴ 조가 기말 숙제 까지 가 니 신 중하 시 기 ㄹ ..,,,,,,,,,,,,,,
자유 전공 1 학년 생 에게 하 ㄴ 학기 배우 ㄴ 지식 만 으로 2 주 우 만 에 사업 계획서 를 써 오 라는 것 은 많 은 것 을 바라 ㄴ 것 이 아니 ㄴ가 싶 다,,,,,,,,,,,,,,
아무것 도 모르 는 1 학년 이 들 으면 오 그럴싸하 ㄴ 버블 같 은 강의 ...,,,,,,,,,,,,,,
아무것 도 못 배우 ㄴ 애 들 한테 무슨 디자인 씽 킹 시키 는지,,,,,,,,,,,,,,
그런데 아무것 도 모르 는 1 학년 이 듣 어서 뭐 하 나요,,,,,,,,,,,,,,
"""... 3 실질적 으로 무슨 도움 을 주 어야 하 는지 모르 고 그 모르 는 것 을 교수 님 께서 시 정하 지 않 으려는 강의 "," 교수 님 그 정도 실무 경력 갖추 ㄴ 사람 은 많 습니다""",,,,,,,,,,,,,,
솔직히 뭐 엄청나 ㄴ 것 을 배우 ㄴ 것 은 아니 지만 유통 이나 물류 에 대하 ㄴ 기초 지식 을 배우 ㅁ,,,,,,,,,,,,,,
... 이것 이 수업 이 안 좋 다는 말 이 아니 라 나 에게 ㄴ 팀 프로젝트 주제도 조금 난해 하 았 고 나 랑,,,,,,,,,,,,,,
팀 프로젝트 이 안 맞 는다는 것 을 알 게 되 ㄴ 기회 였 다는 말 이 ㅁ,,,,,,,,,,,,,,
"""진짜 ICT 유통 물류 융합 으로 선택 하 려는 사람 "," 그거 랑 관련 되 ㄴ 학과 가 려는 사람 들 이 들 어 보고 자기 랑 맞 는지 아니 ㄴ지 생각하 아 보 기 좋 은 수업 이 ㅁ""",,,,,,,,,,,,,,
’ 이런 것 이 시험 문제 에 나오 ㄴ 다 아무리 시험 에 낼 문제 가 없 어도 진짜 성의 없 고 강의 듣 은 것 에 대하 어 회의 감 느끼 었 다,,,,,,,,,,,,,,
외부 특강 이 그만큼 가치 가 아 있 다면 좋 겠 는데 음주 운전 하 아서 면허 취소 되 었 다는 이야기 를 자랑 스럽 게 하 는 살인미수 범 이 오 아서 자기 인생 강의 하고 기 타 아 치고 노래 부름 .... 박수 치 어  현 타 아 오 아서 ..... 진짜 뼈 빠지 게 돈 벌어 서 자식 새끼 는 돈 갖 다,,,,,,,,,,,,,,
강의 스타일 은 재미있 지만 딱히 뭘 배우 고자 하 는지 는 잘 모르 겠 음,,,,,,,,,,,,,,
"""수업 내용 과 시험 이 관계없 는 내용 이 많 아서 아쉽 기 도 하지만 "," 그래서 다른 수업 에서 ㄴ 듣 을 수 없 는 내용 들 이 많 아 좋 기 도 하 았 다""",,,,,,,,,,,,,,
나 한테 이 수업 이 어떤 의미 가 있 었 냐면 유통 물류 라는 분야 에 크 ㄴ 흥미 를 갖 게 하 고 진로 를 진지 하 게 고민하 만들 어 주 ㄴ 수업 이 ㅁ,,,,,,,,,,,,,,
경 없 미나 유통 물류 나 최악 의 수업,,,,,,,,,,,,,,
숭실대 오 아서 그래도 한 번 도 대학 이 부끄럽 었 던 적 은 없 는데 처음 으로 학교 수준 에 대하 어 심각 하 게 고민 하 았었 다,,,,,,,,,,,,,,
대체 뭘 가르치 는 지도 모르 겠 고 기억 에 남 는 것 은 “ 손 알 ㄴ 들 면 죽 여 버리 ㄹ 것 이 야 ” 뿐,,,,,,,,,,,,,,
4 학점 신경 쓰 지 말 아라 고 하 는데 듣 고 뭘 남 는 것 이 있 어야 학점 별로 이 어도 남 는 것 이 좀 있 었 다고 위안 을 삼 지 ... 남 는 것 은 1 도 없 음,,,,,,,,,,,,,,
인원 이 많 아서 뒤 에 까지 자 ㄹ 들리 지 않 는데 알 ㄴ 들리 는 것 이 이득 일지 도 모르 겠 다,,,,,,,,,,,,,,
자기 가 학교 밖 에서 대단 하 ㄴ 사람 이 라고 말 하 고 다니 는데 그것 이 중요 하 ㄴ 것 이 아니 라 강의 를 제대로 하 시 어요,,,,,,,,,,,,,,
"""정치 이야기 80 ", 듣기 싫 은 딕션 , 자기 멋대로 ," 수업 준비 전혀 X 등록금 아깝 다""",,,,,,,,,,,,,,
수강 신청 이 힘들 지 ... 출석 하고 레포트 만 제때 제출 하 시 ㄴ다면 학점 걱정 은 안 하 아 도 되 ㅂ니다,,,,,,,,,,,,,,
자연 로그 상수 가 무엇 이 ㄴ지 모르 는 분 이 계시 다면 한 시 라도 빠르 게 드랍  걸 추천,,,,,,,,,,,,,,
진짜 로 4 년 내내 수업 듣 고 싶 은 교수 님 친절 하 게 설명 해주시 고 문의 하 면 바로 답장 하 아 주 시 어서 편하 게 수업 듣 었 음,,,,,,,,,,,,,,
한 자 잘 모르 아서 걱정 하 았 는데 그렇게 달달 외우 지 않 아도 되 고 그냥 자주 나오 는 한자 만 알 고 문장 말 ㄴ 해석 하 ㄹ 줄 알 면 되 어요,,,,,,,,,,,,,,
교수 님 께서 1 교시 수업 이 ㄴ 날 은 출석 을 5 분 늦 게 부르 어 주시 기도 하 았 고 나름 재미있 게 가르치 려고 노력 하 시 는 것 같 았 지만 약간 저 의 성향,,,,,,,,,,,,,,
... 2 차 가 제일 어렵 다고 하 시 는데 어렵 기 는 하 았 으나 3 차 도 만만 치 않 았 음 ...,,,,,,,,,,,,,,
"""전자기 학 때 C + 받 아서 이번 에 는 안 듣 고 싶 었 는데 "," 교수 님 강의 력 이 나쁘 다고 생각 하 지 는 않 았 고 것 이 다가 다반 수강 이 이미 꽉 차 버리 어서 얼떨결 에 수강 하 게 되 었 습니다""",,,,,,,,,,,,,,
강의 하 시 는 것 랑 학생 들 이 이해하 ㄹ 수 있 도록 노력 하 시 는 것 은 전기 과 에서 탑 3 안 이 든 다고 하 어 도 과 언 이 아니 다,,,,,,,,,,,,,,
별로 이 ㄴ 수업 임 절대 다시 듣 고 싶 지 않 은 수업 이 ㅁ,,,,,,,,,,,,,,
수업 열심히 들 으면 배우 는 것 도 많 고 점수 도 잘 받 을 수 있 음,,,,,,,,,,,,,,
강의 가 나쁘 ㄴ 것 은 아니 ㄴ데 1 년 동안 쭉 들 었 던 입장 에서 ㄴ 굳이 다시 듣 고 싶 지 ㄴ 않 네요,,,,,,,,,,,,,,
미시 경제 를 2 학년 때 제대로 배워가 고 싶 다면,,,,,,,,,,,,,,
수업 중 농담 까지 뭐 하나 빠지 ㄹ 것 이 없 고 귀 에 쏙쏙 들어오 ㅁ,,,,,,,,,,,,,,
교수 님 진짜 최고 잘 가르치 시 고 학점 도 잘 주 시 는 듯 경제학 과 가 아니 라 다음 에 다른 수업 에서 뵈 ㄹ 수 있 을지 ㄴ 모르 겠 지만 기회 가 되 ㄴ다면 또 뵙 고 싶 을 정도 로 좋 은 교수 님 이 ㅁ,,,,,,,,,,,,,,
아이패드 고장 나 았 다고 강의 안 올리 고 애플 펜슬 배터리 없 다고 강의 끊 는 것 이 말 이 되 나요,,,,,,,,,,,,,,
별 1 점 주 시 ㄴ 분 들 이 어떤 심정 이 신지 알 겠 음,,,,,,,,,,,,,,
진짜 내가 아 듣 은 전공 중 가장 얻 어 가 는 것 이 없 었 던 수업,,,,,,,,,,,,,,
