프로 패 어서 제드 는 사랑 이 ㅂ니다,,,,,,,,,,,,,,
출 결도 2 번 봐  근데 아마 다음 학기 에 는 이러 지 않 을 것 에 요 온오 프 가 아니 ㄹ 것 이 ㅂ니다,,,,,,,,,,,,,,
"""일단 팀 프로젝트 "," 숙제 없 고 일주일 에 한 번 만 오프라인 수업 이 ㄴ 것 이 가장 크 ㄴ 장점 교수 님 도 내용 깊 게 안 나가 아서 시험 에 부담 도 적 었 음""",,,,,,,,,,,,,,
"""게다가 온라인 "," 오프라인 각각 2 번 씩 결석 하 아도 성적 반영 안 하 시 ㅁ""",,,,,,,,,,,,,,
완전 영어 수업 이 라 과목 에 대하 ㄴ 베이스 가 확실 하 거나 영어 잘하 는 것 아니 면 비추,,,,,,,,,,,,,,
2 학년 과목 이 라는 것 이 말 이 안 되 ㄹ 정도 로 ... 그래도 학점 은 잘 채우 어 주 시 는 편 이 기 에 끝나 고 성적 받 아 보 면 위안 이 되 기 는 하 ㅂ니다,,,,,,,,,,,,,,
학생 들 에게 인턴 과 같 은 기회 가 있 으면 알리 어 주시 기 도 하 ㄴ다,,,,,,,,,,,,,,
물론 학생 들 이 드랍  수강 취소 하 아서 17 명뿐이였 어서 절 평 을 하 아야 하 았 지만 중간 성적 들 이 다 들 매우 안 좋 았 는지 기말 에서 는  문제 를 주시 기 도 하 았 다,,,,,,,,,,,,,,
성적 비중 을 교수 님 마음대로 정합 ㅂ니다,,,,,,,,,,,,,,
하 라는 것 은 진짜 많 아서 가끔 귀찮 을 수 있 는데 하 ㄴ 만큼 나오 는 아주 공정하 체계적 이 ㄴ 수업 이 ㅁ,,,,,,,,,,,,,,
도우미 를 하 면 성적 부담 어느 정도 지우 ㄹ 수 있 음,,,,,,,,,,,,,,
교수 님 수업 안 듣 고 도 시험 잘 보 ㄹ 수 있 는 그런 과목,,,,,,,,,,,,,,
금융 들 아 피하 ㄹ 수 없 으면 즐기 어라 나 는 A 0 먹 고 빠지 ㄴ다,,,,,,,,,,,,,,
근데 가르치 시 고자 하 는 양이 많 아서,,,,,,,,,,,,,,
최악 ... 진도 를 위하 ㄴ 수업 ... 중간 기말 댜 합치 어서 프린트 2 천장 은 되 ㄹ 듯,,,,,,,,,,,,,,
점수 는 자기 가 열심히 하 는 만큼 받 고 등급 다 채우 어 주 ㄹ려고 발표 점수 조정 하 아 주 시 ㅁ,,,,,,,,,,,,,,
발표 매우 깐깐 하 아서 투자 많이 하 았 는데 차 등 이 별로 없 음,,,,,,,,,,,,,,
그리고 성적 가지 고 강평 불만 제기 하 는 것 은 공부 를 덜 하 ㄴ 거라 것 봄,,,,,,,,,,,,,,
혼자 독학 하 ㄴ 학기 이 었 지만 내용 자체 는 도 움 되 ㅁ,,,,,,,,,,,,,,
하지만 정작 본인 이 알리 어 주 는 강의 내용 에 ㄴ 10 년 저 는 법 이나 규칙 수두룩 하 ㅁ,,,,,,,,,,,,,,
솔직히 그냥 프린트 만 보 면 되 고 출 튀하 는 애 들 잡지 도 않 고 .. + 채우 어 주 지 도 않 음,,,,,,,,,,,,,,
교수 님 이 첫날 때 부터 이 수업 은 출석 만 잘하 고 레포트 베끼 지 않 고 스스로 해보 고 수업 시간 에 배우 ㄴ 내용 대로 만 시험 보 면 학점 잘 받 아 가 ㄹ 수 있 는 수업 이 라고 하 시 었 는데 하 란 대로 하 았 는데 도 학점 은 복 불복 으로 받 아 가 네 요,,,,,,,,,,,,,,
다 들 처음 그래프 만들 어서 하 는 것 니까 내용 은 틀리 어도 좋 다고 하 시 었 으면서 대체 어떤 것 을 보 고 점수 를 매기 신건 지 ... 저 는 수업 시간 에 한 번 도 졸 거나 하 ㄴ 적 이 없 는데 어떤 기준 으로 태도 점수 도 이 점수 를 주 시 ㄴ 것 이 ㄴ지 모르 겠 네요,,,,,,,,,,,,,,
약간 교수 님 주관 에 따르 아 학점 이 갈리 는 수업 같 습니다,,,,,,,,,,,,,,
"""교수 님 마이크 도 안 쓰 시 고 목소리 가 작 으시 ㄴ데 "," 이 점 은 오히려 수업 에 집중 하 게 되 어서 좋 았 다""",,,,,,,,,,,,,,
백경수 교수 님 강의 는 듣 을 수 있 으면 꼭 듣 는 것 이 좋 은데 19 년도 는 안 식년 이 라 안 하 시 ㅁ,,,,,,,,,,,,,,
"""교수 님 "," 진짜 저 가 엎드리 어 절 드리 고 싶 을 만큼 인자 하 시 고 잘 가르치 시 ㅂ니다""",,,,,,,,,,,,,,
